DEBUG 2025-01-24 12:24:57,549 autoreload File /usr/local/lib/python3.11/concurrent/__init__.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,550 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/management/color.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,550 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/app/autoretry.py first seen with mtime 1729518143.0
DEBUG 2025-01-24 12:24:57,551 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/chardet/langhebrewmodel.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,552 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/mixins.py first seen with mtime 1729518142.0
DEBUG 2025-01-24 12:24:57,553 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1729518145.0
DEBUG 2025-01-24 12:24:57,553 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/utils/serialization.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,554 autoreload File /usr/local/lib/python3.11/unittest/main.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,555 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/template/context.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,555 autoreload File /usr/local/lib/python3.11/json/scanner.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,556 autoreload File /usr/local/lib/python3.11/unittest/loader.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,557 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/lib/normalDate.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,557 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/chardet/johabfreq.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,558 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,558 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/files/images.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,559 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/utils/dateparse.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,563 autoreload File /src/my2a/settings.py first seen with mtime 1737721492.9654536
DEBUG 2025-01-24 12:24:57,564 autoreload File /usr/local/lib/python3.11/zoneinfo/__init__.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,564 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/serializers/python.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,565 autoreload File /usr/local/lib/python3.11/concurrent/futures/__init__.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,565 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/utils/timesince.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,566 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/chardet/sbcharsetprober.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,566 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,567 autoreload File /usr/local/lib/python3.11/email/iterators.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,568 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/handlers/wsgi.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,569 autoreload File /usr/local/lib/python3.11/html/parser.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,569 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/test/html.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,570 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/pdfbase/pdfutils.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,571 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/backends/base/base.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,573 autoreload File /src/education/urls.py first seen with mtime 1729516001.355054
DEBUG 2025-01-24 12:24:57,574 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,574 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/requests/__version__.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,575 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/requests/certs.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,576 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/checks/security/sessions.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,577 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/certifi/core.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,577 autoreload File /usr/local/lib/python3.11/contextlib.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,578 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/admin/sites.py first seen with mtime 1729518123.0
DEBUG 2025-01-24 12:24:57,579 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/urllib3/util/url.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,579 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/certifi/__init__.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,580 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/admin/actions.py first seen with mtime 1729518123.0
DEBUG 2025-01-24 12:24:57,581 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,581 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/forms/models.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,583 autoreload File /src/manage.py first seen with mtime 1729516001.3643963
